[INFO] FlashAttention supported — using efficient attention kernels.
[Rank 0] ready on cuda:0
 34%|███████████████████████████████████████████████                                                                                            | 159/469 [1:00:24<1:45:15, 20.37s/it]
[Epoch 1 Step 5] total=170.7750
[Epoch 1 Step 10] total=145.5271
[Epoch 1 Step 15] total=140.3064
[Epoch 1 Step 20] total=244.1743
[Epoch 1 Step 25] total=151.3186
[Epoch 1 Step 30] total=121.1858
[Epoch 1 Step 35] total=127.2154
[Epoch 1 Step 40] total=102.5336
[Epoch 1 Step 45] total=70.8839
[Epoch 1 Step 50] total=81.3316
[Epoch 1 Step 55] total=144.6437
[Epoch 1 Step 60] total=69.2034
[Epoch 1 Step 65] total=73.8826
[Epoch 1 Step 70] total=55.6890
[Epoch 1 Step 75] total=63.0986
[Epoch 1 Step 80] total=56.6462
[Epoch 1 Step 85] total=64.3863
[Epoch 1 Step 90] total=49.9012
[Epoch 1 Step 95] total=60.8945
[Epoch 1 Step 100] total=67.6257
[Epoch 1 Step 105] total=52.1041
[Epoch 1 Step 110] total=44.5955
[Epoch 1 Step 115] total=46.5130
[Epoch 1 Step 120] total=75.6438
[Epoch 1 Step 125] total=41.4629
[Epoch 1 Step 130] total=41.6262
[Epoch 1 Step 135] total=52.4864
[Epoch 1 Step 140] total=42.1858
[Epoch 1 Step 145] total=39.7352
[Epoch 1 Step 150] total=42.6077
[Epoch 1 Step 155] total=49.5663
[Epoch 1 Step 160] total=47.0330
[Epoch 1 Step 165] total=34.4820
[Epoch 1 Step 170] total=38.5563
[Epoch 1 Step 175] total=42.1536
[Epoch 1 Step 180] total=26.4948
[Epoch 1 Step 185] total=40.1357
[Epoch 1 Step 190] total=27.5941
[Epoch 1 Step 195] total=26.2273
[Epoch 1 Step 200] total=40.2163
[Epoch 1 Step 205] total=41.5756
[Epoch 1 Step 210] total=28.3858
[Epoch 1 Step 215] total=26.3302
[Epoch 1 Step 220] total=40.0420
[Epoch 1 Step 225] total=24.8680
[Epoch 1 Step 230] total=41.1883
[Epoch 1 Step 235] total=31.5393
[Epoch 1 Step 240] total=42.6381
[Epoch 1 Step 245] total=18.4090
[Epoch 1 Step 250] total=44.6580
[Epoch 1 Step 255] total=27.7239
[Epoch 1 Step 260] total=28.7840
[Epoch 1 Step 265] total=21.9243
[Epoch 1 Step 270] total=30.5114
[Epoch 1 Step 275] total=43.2436
[Epoch 1 Step 280] total=36.4016
[Epoch 1 Step 285] total=45.5090
[Epoch 1 Step 290] total=60.7775
[Epoch 1 Step 295] total=24.7793
[Epoch 1 Step 300] total=33.5278
[Epoch 1 Step 305] total=22.3032
[Epoch 1 Step 310] total=30.3185
[Epoch 1 Step 315] total=42.7981
[Epoch 1 Step 320] total=21.7087
[Epoch 1 Step 325] total=24.3610
[Epoch 1 Step 330] total=31.9367
[Epoch 1 Step 335] total=21.1798
[Epoch 1 Step 340] total=23.8341
[Epoch 1 Step 345] total=32.1225
[Epoch 1 Step 350] total=35.0659
[Epoch 1 Step 355] total=24.9155
[Epoch 1 Step 360] total=43.4974
[Epoch 1 Step 365] total=22.5646
[Epoch 1 Step 370] total=20.7382
[Epoch 1 Step 375] total=30.3084
[Epoch 1 Step 380] total=15.3598
[Epoch 1 Step 385] total=19.7148
[Epoch 1 Step 390] total=28.8560
[Epoch 1 Step 395] total=31.6758
[Epoch 1 Step 400] total=13.5216
[Epoch 1 Step 405] total=21.7370
[Epoch 1 Step 410] total=25.8384
[Epoch 1 Step 415] total=26.6681
[Epoch 1 Step 420] total=35.9805
[Epoch 1 Step 425] total=14.3725
[Epoch 1 Step 430] total=22.5372
[Epoch 1 Step 435] total=12.2212
[Epoch 1 Step 440] total=17.5034
[Epoch 1 Step 445] total=20.7455
[Epoch 1 Step 450] total=29.6794
[Epoch 1 Step 455] total=30.5687
[Epoch 1 Step 460] total=11.9904
[Epoch 1 Step 465] total=17.8857
[Checkpoint] Saved → checkpoints/tokenizer_epoch001.pt
